,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Release Date,Team,Rating,Times Listed,Number of Reviews,Genres,Plays,Playing,Backlogs,Wishlist
0,1,Wii Sports,Wii,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,2006-11-19,"Nintendo, Nintendo EAD Group No. 2",3.7,775.0,775.0,"Simulator, Sport",18000.0,39.0,320.0,93.0
1,1,Wii Sports,Wii,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,2006-11-19,"Nintendo, Nintendo EAD Group No. 2",3.7,775.0,775.0,"Simulator, Sport",18000.0,39.0,320.0,93.0
2,1,Wii Sports,Wii,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,2006-11-19,"Nintendo, Nintendo EAD Group No. 2",3.7,775.0,775.0,"Simulator, Sport",18000.0,39.0,320.0,93.0
3,2,Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,1985-09-13,"Nintendo, Nintendo R&D4",3.5,1500.0,1500.0,"Adventure, Platform",18000.0,59.0,733.0,237.0
4,3,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,2008-04-10,"Nintendo, Nintendo EAD",3.9,1000.0,1000.0,Racing,19000.0,88.0,461.0,168.0
5,3,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,2008-04-10,"Nintendo, Nintendo EAD",3.9,1000.0,1000.0,Racing,19000.0,88.0,461.0,168.0
6,3,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,2008-04-10,"Nintendo, Nintendo EAD",3.9,1000.0,1000.0,Racing,19000.0,88.0,461.0,168.0
7,6,Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,1989-11-01,Nintendo,4.1,688.0,688.0,"Arcade, Puzzle",9600.0,54.0,175.0,66.0
8,6,Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,1989-11-01,Nintendo,4.1,688.0,688.0,"Arcade, Puzzle",9600.0,54.0,175.0,66.0
9,6,Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,1989-05-14,Nintendo,4.0,197.0,197.0,Puzzle,2500.0,18.0,76.0,21.0
10,7,New Super Mario Bros.,DS,2006,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,2006-05-15,Nintendo,3.5,991.0,991.0,"Adventure, Platform",16000.0,108.0,824.0,287.0
11,7,New Super Mario Bros.,DS,2006,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,2006-05-15,Nintendo,3.5,991.0,991.0,"Adventure, Platform",16000.0,108.0,824.0,287.0
12,9,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,2009-11-12,"Nintendo, Nintendo EAD",3.5,859.0,859.0,"Adventure, Platform",13000.0,85.0,696.0,241.0
13,9,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,2009-11-12,"Nintendo, Nintendo EAD",3.5,859.0,859.0,"Adventure, Platform",13000.0,85.0,696.0,241.0
14,12,Mario Kart DS,DS,2005,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,2005-11-14,Nintendo EAD Group No. 1,3.8,857.0,857.0,Racing,15000.0,36.0,417.0,159.0
15,17,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,2013-09-17,"Rockstar North, Rockstar Games",3.8,2100.0,2100.0,"Adventure, Shooter",30000.0,829.0,3200.0,664.0
16,17,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,2013-09-17,"Rockstar North, Rockstar Games",3.8,2100.0,2100.0,"Adventure, Shooter",30000.0,829.0,3200.0,664.0
17,17,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,2013-09-17,"Rockstar North, Rockstar Games",3.8,2100.0,2100.0,"Adventure, Shooter",30000.0,829.0,3200.0,664.0
18,18,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,2004-10-26,"Rockstar Games, Rockstar North",4.1,1500.0,1500.0,"Adventure, Racing, Shooter",19000.0,270.0,2400.0,742.0
19,19,Super Mario World,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,1990-11-21,"Nintendo, Nintendo EAD",4.2,2100.0,2100.0,"Adventure, Platform",18000.0,218.0,1700.0,460.0
20,23,Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,1988-10-23,"Nintendo R&D4, Nintendo",4.0,1600.0,1600.0,Platform,14000.0,109.0,1400.0,362.0
21,23,Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,1988-10-23,"Nintendo R&D4, Nintendo",4.0,1600.0,1600.0,Platform,14000.0,109.0,1400.0,362.0
22,23,Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,1988-10-23,"Nintendo R&D4, Nintendo",4.0,1600.0,1600.0,Platform,14000.0,109.0,1400.0,362.0
23,24,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,2013-09-17,"Rockstar North, Rockstar Games",3.8,2100.0,2100.0,"Adventure, Shooter",30000.0,829.0,3200.0,664.0
24,24,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,2013-09-17,"Rockstar North, Rockstar Games",3.8,2100.0,2100.0,"Adventure, Shooter",30000.0,829.0,3200.0,664.0
25,24,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,2013-09-17,"Rockstar North, Rockstar Games",3.8,2100.0,2100.0,"Adventure, Shooter",30000.0,829.0,3200.0,664.0
26,25,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,2002-10-27,"Rockstar Games, Rockstar North",3.8,1000.0,1000.0,"Adventure, Arcade, Racing, Shooter",12000.0,125.0,1600.0,526.0
27,30,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9.03,4.28,0.13,1.32,14.76,2011-11-08,"Sledgehammer Games, Activision",3.2,587.0,587.0,"Adventure, Shooter, Tactical",10000.0,27.0,492.0,195.0
28,32,Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.67,3.73,0.11,1.13,14.64,2010-11-09,"Activision, Treyarch",3.7,920.0,920.0,Shooter,14000.0,44.0,611.0,318.0
29,32,Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.67,3.73,0.11,1.13,14.64,2010-11-09,"Activision, Treyarch",3.7,920.0,920.0,Shooter,14000.0,44.0,611.0,318.0
30,35,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,2012-11-12,"Treyarch, Activision",3.8,903.0,903.0,Shooter,13000.0,57.0,626.0,286.0
31,35,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,2012-11-12,"Treyarch, Activision",3.8,903.0,903.0,Shooter,13000.0,57.0,626.0,286.0
32,36,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.25,4.3,0.07,1.12,13.73,2012-11-12,"Treyarch, Activision",3.8,903.0,903.0,Shooter,13000.0,57.0,626.0,286.0
33,36,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.25,4.3,0.07,1.12,13.73,2012-11-12,"Treyarch, Activision",3.8,903.0,903.0,Shooter,13000.0,57.0,626.0,286.0
34,37,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8.52,3.63,0.08,1.29,13.51,2009-11-10,"Infinity Ward, Activision",3.8,1000.0,1000.0,Shooter,14000.0,34.0,666.0,276.0
35,38,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5.54,5.82,0.49,1.62,13.46,2011-11-08,"Sledgehammer Games, Activision",3.2,587.0,587.0,"Adventure, Shooter, Tactical",10000.0,27.0,492.0,195.0
36,39,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,2001-10-22,"DMA Design, Rockstar Games",3.3,711.0,711.0,"Adventure, Racing, Shooter, Simulator",7800.0,88.0,1300.0,373.0
37,40,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,2008-01-31,"Nintendo, Sora",3.8,1300.0,1300.0,"Fighting, Platform",19000.0,51.0,511.0,250.0
38,40,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,2008-01-31,"Nintendo, Sora",3.8,1300.0,1300.0,"Fighting, Platform",19000.0,51.0,511.0,250.0
39,41,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,2010-11-09,"Activision, Treyarch",3.7,920.0,920.0,Shooter,14000.0,44.0,611.0,318.0
40,41,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,2010-11-09,"Activision, Treyarch",3.7,920.0,920.0,Shooter,14000.0,44.0,611.0,318.0
41,43,Mario Kart 7,3DS,2011,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21,2011-12-02,Nintendo,3.5,593.0,593.0,Racing,10000.0,59.0,336.0,141.0
42,44,Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,2007-09-25,"Bungie, Microsoft Game Studios",4.2,1600.0,1600.0,Shooter,12000.0,101.0,1500.0,528.0
43,45,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98,2013-09-17,"Rockstar North, Rockstar Games",3.8,2100.0,2100.0,"Adventure, Shooter",30000.0,829.0,3200.0,664.0
44,45,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98,2013-09-17,"Rockstar North, Rockstar Games",3.8,2100.0,2100.0,"Adventure, Shooter",30000.0,829.0,3200.0,664.0
45,45,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98,2013-09-17,"Rockstar North, Rockstar Games",3.8,2100.0,2100.0,"Adventure, Shooter",30000.0,829.0,3200.0,664.0
46,47,Super Mario 64,N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,1996-06-23,"Nintendo, Nintendo EAD",4.1,2600.0,2600.0,"Adventure, Platform",21000.0,463.0,2500.0,775.0
47,47,Super Mario 64,N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,1996-06-23,"Nintendo, Nintendo EAD",4.1,2600.0,2600.0,"Adventure, Platform",21000.0,463.0,2500.0,775.0
48,47,Super Mario 64,N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,1996-06-23,"Nintendo, Nintendo EAD",4.1,2600.0,2600.0,"Adventure, Platform",21000.0,463.0,2500.0,775.0
49,49,Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,2007-11-01,"Nintendo EAD, Nintendo",4.3,2700.0,2700.0,"Adventure, Platform",21000.0,468.0,3100.0,1200.0
50,49,Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,2007-11-01,"Nintendo EAD, Nintendo",4.3,2700.0,2700.0,"Adventure, Platform",21000.0,468.0,3100.0,1200.0
51,49,Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,2007-11-01,"Nintendo EAD, Nintendo",4.3,2700.0,2700.0,"Adventure, Platform",21000.0,468.0,3100.0,1200.0
52,52,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,2008-04-29,"Rockstar North, Rockstar Games",3.8,1100.0,1100.0,"Adventure, Racing, Shooter",14000.0,258.0,1900.0,721.0
53,54,Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79,2011-11-03,"Nintendo EAD, Nintendo",3.5,1000.0,1000.0,Platform,12000.0,146.0,1000.0,461.0
54,56,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.99,3.69,0.38,1.63,10.69,2009-11-10,"Infinity Ward, Activision",3.8,1000.0,1000.0,Shooter,14000.0,34.0,666.0,276.0
55,57,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,2008-04-29,"Rockstar North, Rockstar Games",3.8,1100.0,1100.0,"Adventure, Racing, Shooter",14000.0,258.0,1900.0,721.0
56,60,Super Mario 64,DS,2004,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42,1996-06-23,"Nintendo, Nintendo EAD",4.1,2600.0,2600.0,"Adventure, Platform",21000.0,463.0,2500.0,775.0
57,60,Super Mario 64,DS,2004,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42,1996-06-23,"Nintendo, Nintendo EAD",4.1,2600.0,2600.0,"Adventure, Platform",21000.0,463.0,2500.0,775.0
58,60,Super Mario 64,DS,2004,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42,1996-06-23,"Nintendo, Nintendo EAD",4.1,2600.0,2600.0,"Adventure, Platform",21000.0,463.0,2500.0,775.0
59,62,Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.72,2.63,0.04,0.82,10.21,2013-11-05,"Neversoft Entertainment, Activision",2.4,411.0,411.0,Shooter,6500.0,9.0,353.0,150.0
60,63,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,2010-09-14,"Bungie, Microsoft Game Studios",4.0,1200.0,1200.0,Shooter,11000.0,98.0,1200.0,370.0
61,64,Mario Kart 64,N64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,1996-12-14,Nintendo,3.5,725.0,725.0,Racing,9700.0,21.0,389.0,194.0
62,65,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,2012-07-28,"Nintendo, Nintendo EAD",2.9,581.0,581.0,"Adventure, Platform",6100.0,47.0,588.0,234.0
63,66,Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,2012-11-06,"343 Industries, Microsoft Studios",3.0,674.0,674.0,Shooter,7600.0,57.0,1200.0,277.0
64,66,Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,2012-11-06,"343 Industries, Microsoft Studios",3.0,674.0,674.0,Shooter,7600.0,57.0,1200.0,277.0
65,67,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,1997-01-31,"Square, Eidos Interactive",4.2,2900.0,2900.0,"Adventure, RPG, Turn Based Strategy",15000.0,1100.0,5000.0,1500.0
66,67,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,1997-01-31,"Square, Eidos Interactive",4.2,2900.0,2900.0,"Adventure, RPG, Turn Based Strategy",15000.0,1100.0,5000.0,1500.0
67,67,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,2012-08-14,"Square Enix, Square",4.2,103.0,103.0,"RPG, Turn Based Strategy",1200.0,89.0,427.0,70.0
68,67,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,1997-01-31,"Square, Eidos Interactive",4.2,2900.0,2900.0,"Adventure, RPG, Turn Based Strategy",15000.0,1100.0,5000.0,1500.0
69,68,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.09,3.73,0.38,1.38,9.59,2013-11-05,"Neversoft Entertainment, Activision",2.4,411.0,411.0,Shooter,6500.0,9.0,353.0,150.0
70,72,Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,1994-11-18,Rare,3.9,1300.0,1300.0,"Adventure, Platform",11000.0,186.0,1900.0,514.0
71,72,Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,1994-11-18,Rare,3.9,1300.0,1300.0,"Adventure, Platform",11000.0,186.0,1900.0,514.0
72,72,Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,1994-11-18,Rare,3.9,1300.0,1300.0,"Adventure, Platform",11000.0,186.0,1900.0,514.0
73,73,Minecraft,X360,2013,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,2011-11-18,Mojang Studios,4.3,2300.0,2300.0,"Adventure, Simulator",33000.0,1800.0,1100.0,230.0
74,73,Minecraft,X360,2013,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,2011-11-18,Mojang Studios,4.3,2300.0,2300.0,"Adventure, Simulator",33000.0,1800.0,1100.0,230.0
75,73,Minecraft,X360,2013,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,2011-11-18,Mojang Studios,4.3,2300.0,2300.0,"Adventure, Simulator",33000.0,1800.0,1100.0,230.0
76,73,Minecraft,X360,2013,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,2017-09-20,Mojang Studios,4.2,571.0,571.0,"Adventure, Simulator",11000.0,509.0,412.0,85.0
77,74,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,2012-11-08,"Nintendo, Nintendo EAD Group No. 2",4.0,813.0,813.0,Simulator,9900.0,156.0,586.0,383.0
78,76,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,2011-11-10,"Bethesda Game Studios, Bethesda Softworks",3.7,1700.0,1700.0,"Adventure, RPG",22000.0,589.0,3000.0,1000.0
79,76,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,2011-11-10,"Bethesda Game Studios, Bethesda Softworks",3.7,1700.0,1700.0,"Adventure, RPG",22000.0,589.0,3000.0,1000.0
80,76,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,2011-11-10,"Bethesda Game Studios, Bethesda Softworks",3.7,1700.0,1700.0,"Adventure, RPG",22000.0,589.0,3000.0,1000.0
81,85,GoldenEye 007,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,1997-08-23,"Nintendo, Rare",3.6,610.0,610.0,Shooter,4500.0,60.0,646.0,334.0
82,87,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,2001-07-19,"Square Electronic Arts, Square",4.1,1500.0,1500.0,"Adventure, RPG",8500.0,330.0,2900.0,990.0
83,88,Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,1999-02-11,"Square, Square Enix",3.6,982.0,982.0,"Adventure, RPG",5100.0,182.0,2400.0,715.0
84,90,Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,1980-05-22,"Wiz, Namco Networks America, Inc.",3.4,427.0,427.0,Arcade,5200.0,7.0,108.0,31.0
85,92,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,2010-05-23,"Nintendo EAD, Nintendo",4.3,1800.0,1800.0,"Adventure, Platform",13000.0,123.0,2500.0,1300.0
86,92,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,2010-05-23,"Nintendo EAD, Nintendo",4.3,1800.0,1800.0,"Adventure, Platform",13000.0,123.0,2500.0,1300.0
87,92,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,2010-05-23,"Nintendo EAD, Nintendo",4.3,1800.0,1800.0,"Adventure, Platform",13000.0,123.0,2500.0,1300.0
88,94,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.8,3.3,0.14,1.37,7.6,2014-11-03,"Activision, Sledgehammer Games",2.5,415.0,415.0,Shooter,5200.0,13.0,308.0,151.0
89,95,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,1998-11-21,"Nintendo, Nintendo EAD",4.3,2200.0,2200.0,"Adventure, RPG",17000.0,433.0,3000.0,1400.0
90,95,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,1998-11-21,"Nintendo, Nintendo EAD",4.3,2200.0,2200.0,"Adventure, RPG",17000.0,433.0,3000.0,1400.0
91,95,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,1998-11-21,"Nintendo, Nintendo EAD",4.3,2200.0,2200.0,"Adventure, RPG",17000.0,433.0,3000.0,1400.0
92,97,Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,1988-10-09,"Nintendo, Nintendo EAD",3.1,864.0,864.0,"Adventure, Platform",8400.0,40.0,767.0,189.0
93,101,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.83,2.19,0.6,0.7,7.31,2006-11-19,"Nintendo, Nintendo EAD Software Development Group No.3",4.1,642.0,642.0,"Adventure, RPG",6000.0,82.0,1100.0,466.0
94,101,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.83,2.19,0.6,0.7,7.31,2006-11-19,"Nintendo, Nintendo EAD Software Development Group No.3",4.0,899.0,899.0,"Adventure, RPG",10000.0,228.0,2500.0,1300.0
95,101,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.83,2.19,0.6,0.7,7.31,2006-11-19,"Nintendo, Nintendo EAD Software Development Group No.3",4.1,642.0,642.0,"Adventure, RPG",6000.0,82.0,1100.0,466.0
96,106,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,1997-03-22,"Namco, Namco Hometek",3.9,564.0,564.0,Fighting,4200.0,13.0,253.0,183.0
97,109,Mario Kart 8,WiiU,2014,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96,2014-05-29,"Nintendo, Nintendo EAD Group No. 1",3.9,643.0,643.0,"Arcade, Racing",9300.0,40.0,225.0,121.0
98,110,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96,2015-11-09,"Bethesda Game Studios, Bethesda Softworks",3.1,1000.0,1000.0,"RPG, Shooter",16000.0,407.0,2900.0,752.0
99,110,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96,2015-11-09,"Bethesda Game Studios, Bethesda Softworks",3.1,1000.0,1000.0,"RPG, Shooter",16000.0,407.0,2900.0,752.0
100,111,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,2003-11-07,"Nintendo EAD, Nintendo",3.9,808.0,808.0,Racing,8400.0,31.0,449.0,265.0
101,113,FIFA 14,PS3,2013,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9,2013-09-24,"EA Sports, EA Canada",3.2,92.0,92.0,Sport,2200.0,8.0,52.0,13.0
102,116,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83,2011-11-01,"Naughty Dog, Sony Computer Entertainment, Inc. (SCEI)",3.6,941.0,941.0,"Adventure, Platform, Shooter",11000.0,60.0,1500.0,477.0
103,116,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83,2011-11-01,"Naughty Dog, Sony Computer Entertainment, Inc. (SCEI)",3.6,941.0,941.0,"Adventure, Platform, Shooter",11000.0,60.0,1500.0,477.0
104,117,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,1996-09-09,"Sony Computer Entertainment, Naughty Dog",3.5,660.0,660.0,Platform,8700.0,58.0,702.0,288.0
105,119,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76,2008-11-07,"Microsoft Game Studios, Epic Games",3.7,504.0,504.0,Shooter,4600.0,31.0,522.0,225.0
106,120,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3.27,2.25,0.21,1.0,6.73,2009-10-13,"Naughty Dog, Sony Computer Entertainment",3.9,1400.0,1400.0,"Adventure, Platform, Shooter",12000.0,96.0,1500.0,515.0
107,124,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6,2010-05-18,"Rockstar Games, Rockstar North",4.2,1500.0,1500.0,"Adventure, RPG, Shooter",13000.0,218.0,2400.0,1600.0
108,124,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6,2010-05-18,"Rockstar Games, Rockstar North",4.2,1500.0,1500.0,"Adventure, RPG, Shooter",13000.0,218.0,2400.0,1600.0
109,124,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6,2010-05-18,"Rockstar Games, Rockstar North",4.2,1500.0,1500.0,"Adventure, RPG, Shooter",13000.0,218.0,2400.0,1600.0
110,126,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59,2010-11-21,"Retro Studios, Nintendo",3.9,521.0,521.0,"Adventure, Platform",5300.0,67.0,1100.0,443.0
111,127,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56,2011-11-10,"Bethesda Game Studios, Bethesda Softworks",3.7,1700.0,1700.0,"Adventure, RPG",22000.0,589.0,3000.0,1000.0
112,127,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56,2011-11-10,"Bethesda Game Studios, Bethesda Softworks",3.7,1700.0,1700.0,"Adventure, RPG",22000.0,589.0,3000.0,1000.0
113,127,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56,2011-11-10,"Bethesda Game Studios, Bethesda Softworks",3.7,1700.0,1700.0,"Adventure, RPG",22000.0,589.0,3000.0,1000.0
114,128,The Legend of Zelda,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,1986-02-21,"Nintendo EAD, Nintendo",3.2,1200.0,1200.0,Adventure,9300.0,132.0,1500.0,463.0
115,128,The Legend of Zelda,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,1986-02-21,"Nintendo EAD, Nintendo",3.2,1200.0,1200.0,Adventure,9300.0,132.0,1500.0,463.0
116,129,Assassin's Creed III,PS3,2012,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5,2012-10-30,"Ubisoft Entertainment, Ubisoft Montreal",3.0,707.0,707.0,"Adventure, Strategy",12000.0,72.0,1200.0,390.0
117,132,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,2002-03-28,"Square, Disney Interactive Studios",3.6,1300.0,1300.0,"Adventure, RPG",12000.0,266.0,2100.0,1000.0
